id,paper,exam_round,year,question_number,variant,taxonomy_code,prompt_md,option_a,option_b,option_c,option_d,option_e,answer,explanation_md,question_type,source_ref,review_status,enabled,updated_at
mock-p1-r1-y107-q001,p1,1,107,1,,,「郵輪產業」享有「漂浮在海上的黃金產業」美稱，延伸的商機包含物流、運輸、農業、紡織、石化、在岸觀光等各項環節，不僅可增加就業，還可為國家創造更多稅收；近年更成為政府力推及深耕的目標市場。如依行政院主計處「中華民國行業標準」歸類，該產業所屬類別為何？,I大類：住宿及餐飲業,H 大類：運輸及倉儲業,N 大類：支援服務業,R大類：藝術、娛樂及休閒服務業,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q1,needs-review,FALSE,
mock-p1-r1-y107-q002,p1,1,107,2,,,有關觀光餐旅英文用語，下列何者配對正確？甲、休閒：Leisure 乙、觀光：Tourist 丙、觀光客：Tourism丁、旅行：Travel   戊、遊憩：Recreation,甲、乙、丙,乙、丙、丁,甲、丁、戊,甲、乙、丙、丁、戊,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q2,needs-review,FALSE,
mock-p1-r1-y107-q003,p1,1,107,3,,,觀光活動之內涵是由觀光系統構築而成，主要分為「觀光主體」、「觀光客體」、「觀光媒體」；下列選項中，屬於「觀光客體」者為何？,南投天空之橋,導遊、領隊,遊覽車公司,遊客,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q3,needs-review,FALSE,
mock-p1-r1-y107-q004,p1,1,107,4,,,許多公民營機構會將會議、展覽活動安排於風景優美的旅遊城市或度假勝地，藉此提升與會人員參與的積極性，更透過加會議、展覽活動之參與，誘發與會人員對旅遊產品和服務的消費；有別於傳統旅遊形式，屬於一種衍生性的旅遊活動…；此段敘述主要說明下列何類觀光活動型態？,Medical Tourism,Social Tourism,Amusement Tourism,Convention & Exhibition Tourism,,D,,single-choice,117-1專一試題\auto\117-1專一試題.md#q4,needs-review,FALSE,
mock-p1-r1-y107-q005,p1,1,107,5,,,各國政府如欲刺激觀光餐旅產業發展，提升旅客入境旅遊之意願，應積極解決或降低下列何者之影響？,TARS,TR,DFA,TME,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q5,needs-review,FALSE,
mock-p1-r1-y107-q006,p1,1,107,6,,,"大員餐廳「年」營業額為1800,000 元，每「月」平均食材成本為70,000 元、員工薪資為100,000元、公關宣傳行銷費用為60,000 元，請問該餐廳「年度」銷售毛利為多少元？","960,000 元","860,000 元","760,000 元","660,000 元",,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q6,needs-review,FALSE,
mock-p1-r1-y107-q007,p1,1,107,7,,,阿丞邀請國外友人來臺參訪，並陪同遊歷赤崁樓、孔廟等知名古蹟景點；二人共遊方式，如依UNWTO觀光活動型態之分類，屬於下列何者？,Internal Tourism,Domestic Tourism,National Tourism,International Tourism,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q7,needs-review,FALSE,
mock-p1-r1-y107-q008,p1,1,107,8,,,餐廳格局設計主要依據經營類型有不同的桌椅配置需求與考量；下列桌椅配置與適用餐廳類型之組合，何者為宜？,直橫交錯型：適用於重視氣氛的餐廳,散布型：適用於自助餐廳,橫向型：適用於一般餐廳,櫃檯型：適用於鐵板燒餐廳、日式料理餐廳、酒吧,,D,,single-choice,117-1專一試題\auto\117-1專一試題.md#q8,needs-review,FALSE,
mock-p1-r1-y107-q009,p1,1,107,9,,,面對不同時段之消費需求，餐旅業者常運用Yield Management策略，推出各式消費價格，不僅有助商品完售，更可讓消費者以最適合價消費。由此可知，Yield Management策略之採行，主要為因應餐旅業何一行業屬性？,Heterogeneity,Inseparability,Perishability,Intangibility,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q9,needs-review,FALSE,
mock-p1-r1-y107-q010,p1,1,107,10,,,近年樂活、綠色等健康訴求在全球各地蔚為風潮，許多注重生態的景點更能引來觀光人潮。因此，「綠色觀光(Green Tourism)」應運而生；活動中強調環境保護、生態平衡、遠離喧囂與污染、親近大自然，不僅要讓大自然更綠，也要讓人的心更綠。下列觀光活動型態中，與綠色觀光(GreenTourism)屬性相同者為何？甲、Ecological Tourism乙、Mass Tourism丙、Cruise Travel丁、Sustainable Tourism戊、Environmental Tourism己、Responsible Tourism,2 種,3 種,4 種,5 種,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q10,needs-review,FALSE,
